elapsed_time,id,time,alt,lat,lng,pressure,ohm,hum,co2,temp,rssi
0:2:33,945,14:6:23,83.40,69.295898,16.029207,100392.11,22618.76,15.2031,474.77,42.1875,-121
0:2:35,946,14:6:25,87.60,69.295914,16.029295,100245.01,22932.76,15.2031,474.77,42.1875,-120
0:2:40,948,14:6:30,98.80,69.295929,16.029293,99981.00,23254.07,13.8047,467.73,42.1563,-113
0:2:42,949,14:6:32,106.60,69.295860,16.029194,99887.51,23417.54,13.6719,462.16,42.0625,-112
0:2:46,951,14:6:36,116.40,69.295937,16.028976,99697.45,23750.29,13.6406,447.74,42.0000,-123
0:2:48,952,14:6:38,124.20,69.295967,16.028929,99529.29,24091.01,13.2969,436.01,41.9063,-120
0:2:55,955,14:6:45,148.40,69.296043,16.028978,99246.50,24617.69,13.3359,426.46,41.7500,-111
0:2:59,957,14:6:49,165.80,69.296013,16.028666,99024.67,24979.63,13.3203,422.26,41.5938,-109
0:3:1,958,14:6:51,172.20,69.295975,16.028625,98989.34,25163.97,13.3672,418.46,41.5625,-111
0:3:6,960,14:6:56,187.00,69.295990,16.028511,98863.11,25350.63,13.2500,423.83,41.5000,-115
0:3:8,961,14:6:58,192.60,69.296036,16.028532,98787.06,25350.63,13.1328,427.84,41.4063,-108
0:3:10,962,14:7:0,199.10,69.296074,16.028372,98676.87,25539.62,13.0625,426.09,41.2813,-110
0:3:19,966,14:7:9,229.30,69.296318,16.028124,98399.86,25924.85,13.2422,417.32,41.1875,-108
0:3:23,968,14:7:13,239.60,69.296501,16.028027,98272.28,25924.85,13.1719,418.99,41.0938,-106
0:3:28,970,14:7:17,249.20,69.296654,16.027494,98134.55,26121.15,13.1094,419.97,41.0000,-105
0:3:30,971,14:7:20,255.30,69.296822,16.027184,98061.55,26121.15,13.1094,419.97,41.0000,-105
0:3:32,972,14:7:22,265.40,69.296928,16.027107,97955.89,26319.99,13.1406,423.87,40.9688,-106
0:3:34,973,14:7:24,272.00,69.297043,16.026934,97866.12,26319.99,13.0703,424.61,40.9688,-107
0:3:36,974,14:7:26,277.20,69.297157,16.026705,97806.97,26319.99,13.0859,426.37,40.9063,-107
0:3:39,975,14:7:28,284.00,69.297241,16.026430,97688.67,26521.42,13.0391,430.69,40.8125,-121
0:3:41,976,14:7:30,291.40,69.297279,16.026178,97591.68,26521.42,13.0312,433.25,40.7500,-106
0:3:43,977,14:7:33,303.30,69.297371,16.026003,97465.55,26521.42,13.1875,437.39,40.6875,-111
0:3:45,978,14:7:35,308.40,69.297501,16.025949,97388.08,26725.49,13.0078,439.38,40.5938,-110
0:3:47,979,14:7:37,315.60,69.297615,16.025742,97306.77,26725.49,13.0859,442.23,40.5000,-108
0:3:49,980,14:7:39,320.10,69.297668,16.025446,97225.97,26725.49,13.1172,445.82,40.3438,-106
0:3:52,981,14:7:41,326.80,69.297691,16.025331,97155.98,27141.73,12.9844,447.03,40.3125,-107
0:3:54,982,14:7:44,331.20,69.297722,16.025269,97087.92,27141.73,13.0312,448.80,40.1563,-109
0:3:58,984,14:7:48,345.50,69.297852,16.025328,96939.69,27141.73,13.0937,438.98,40.1563,-107
0:4:0,985,14:7:50,352.80,69.297958,16.025209,96843.41,27353.99,13.1172,444.63,40.0938,-105
0:4:2,986,14:7:52,358.80,69.298065,16.024979,96736.09,27353.99,13.0859,442.14,40.0313,-104
0:4:7,988,14:7:57,378.40,69.298164,16.024546,96540.33,27353.99,13.0547,442.26,39.9375,-103
